ID,Provincia
Araba/Álava,01
Albacete,02
Alacant/Alicante,03
Almería,04
Ávila,05
Badajoz,06
Illes Balears,07
Barcelona,08
Burgos,09
Cáceres,10
Cádiz,11
Castellón/Castelló,12
Ciudad Real,13
Córdoba,14
A Coruña,15
Cuenca,16
Girona,17
Granada,18
Guadalajara,19
Gipuzkoa,20
Huelva,21
Huesca,22
Jaén,23
León,24
Lleida,25
La Rioja,26
Lugo,27
Madrid,28
Málaga,29
Murcia,30
Navarra,31
Ourense,32
Asturias,33
Palencia,34
Pontevedra,36
Salamanca,37
Cantabria,39
Segovia,40
Sevilla,41
Soria,42
Tarragona,43
Teruel,44
Toledo,45
Valencia/València,46
Valladolid,47
Bizkaia,48
Zamora,49
Zaragoza,50
Ceuta,51
Melilla,52
Las Palmas,35
S.C de Tenerife,38
